Quantity,Comment,
1,CH340C,
3,Diode,
2,2N3904,
2,USB_C_Receptacle_USB2.0_16P,
2,5.7K,
4,5.1K,
1,47K,
4,1K,
1,1uF,
3,0.1uF,
4,10uF,
6,10K,
4,27R,
1,396K,
2,100R,
1,10K,
1,MT3608,
1,LD1117S33TR_SOT223,
1,22R,
1,ESP32-S3-WROOM-1,
2,22uF,
1,22uH,
1,RED 3.3V,
1,RED 5V,
1,GREEN GPIO,
2,SW_Push,
1,Conn_01x40_Socket,
1,CAT4104,
1,1.8K,
2,Conn_01x14_Pin,
2,Conn_01x04_Pin,
2,Conn_01x09_Pin,(All parts for one devboard only)
,,
Total Component Price:,£17.85,
PCB Price:,£2.37,
Rest of PCBA,£59.41,
,,
Total,£79.63,
