Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,108.25,-95.52,-90,top
C2,10uF,C_0603_1608Metric,109.5,-95.5,-90,top
C3,10uF,C_0603_1608Metric,112.75,-153.75,90,top
C4,10uF,C_0603_1608Metric,110.25,-152.75,180,top
C5,22uF,C_0603_1608Metric,110,-134.5,-90,top
C6,10uF,C_0603_1608Metric,120,-146,90,top
C7,0.1uF,C_0402_1005Metric,122.75,-156.25,180,top
C8,0.1uF,C_0402_1005Metric,130.4,-151.2,180,top
C9,22uF,C_0603_1608Metric,110.25,-154.5,180,top
C10,1uF,C_0402_1005Metric,126.95,-140.52,90,top
D1,RED 5V,LED_0402_1005Metric,112,-158.75,180,top
D2,RED 3.3V,LED_0402_1005Metric,112,-157.5,180,top
D3,GREEN GPIO,LED_0402_1005Metric,112,-156.25,180,top
D4,Diode,D_SMB,110.75,-140,-90,top
D5,Diode,D_SMB,117.5,-154.75,0,top
D6,Diode,D_SMB,117.25,-159.75,180,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,114,-167.5,0,top
J2,Conn_01x40_Socket,Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal,120,-121.5,0,top
J6,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,126,-167.5,0,top
L1,22uH,5028_SMD_INDUCTOR_SRR5028-220Y,117,-140.25,90,top
Q1,2N3904,SOT-23,125,-149.25,0,top
Q2,2N3904,SOT-23,120.75,-149.55,0,top
R1,5.1K,R_0402_1005Metric,108,-165,-90,top
R2,5.1K,R_0402_1005Metric,108,-167.5,-90,top
R3,27R,R_0402_1005Metric,110.5,-160.5,180,top
R4,27R,R_0402_1005Metric,110.5,-161.75,180,top
R5,1K,R_0402_1005Metric,109.75,-158.75,0,top
R6,1K,R_0402_1005Metric,109.75,-157.5,0,top
R7,5.7K,R_0402_1005Metric,115,-114,180,top
R8,10K,R_0402_1005Metric,127.05,-142.6,90,top
R9,10K,R_0402_1005Metric,127.25,-145.75,-90,top
R10,396K,R_0402_1005Metric,116.5,-135.25,180,top
R11,10K,R_0402_1005Metric,116.5,-134,0,top
R12,1K,R_0402_1005Metric,130.75,-136.5,90,top
R13,1.8K,R_0402_1005Metric,123,-139.75,0,top
R14,1K,R_0402_1005Metric,109.75,-156.25,0,top
R15,10K,R_0402_1005Metric,128.5,-117.75,0,top
R17,5.7K,R_0402_1005Metric,130.75,-117.5,0,top
R18,22R,R_0402_1005Metric,126.25,-117.25,180,top
R19,27R,R_0402_1005Metric,123.25,-159.5,90,top
R20,27R,R_0402_1005Metric,122.75,-157.75,0,top
R21,5.1K,R_0402_1005Metric,132,-167.5,-90,top
R22,5.1K,R_0402_1005Metric,132,-165,-90,top
R23,100,R_0402_1005Metric,122.75,-155,180,top
R24,100,R_0402_1005Metric,122.75,-153.75,180,top
R25,10K,R_0402_1005Metric,122.75,-151.5,180,top
R26,10K,R_0402_1005Metric,127,-151,180,top
R27,47K,R_0402_1005Metric,131.25,-97.75,180,top
RV1,10K,Potentiometer_Bourns_3314J_Vertical,123.75,-143.75,0,top
SW1,SW_Push,SW_Push_1P1T-SH_NO_CK_KMR2xxG,129.75,-141.5,90,top
SW2,SW_Push,SW_Push_1P1T-SH_NO_CK_KMR2xxG,129.75,-147.25,90,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,120,-100,0,top
U3,MT3608,SOT-23-6,113,-134,0,top
U4,CAT4104,CAT4104,126.32,-135.75,0,top
U5,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,127.75,-157,0,top
U6,LD1117S33TR_SOT223,SOT-223-3_TabPin2,113.25,-148.25,180,top
