### Footprint positions - created on 2025-12-28T21:39:23+0000 ###
### Printed by KiCad version 9.0.6
"## Unit = mm, Angle = deg."
## Side : top
# Designator     Val                          Package                                                 Mid X       Mid Y       Rotation  Layer
C1        0.1uF                        C_0402_1005Metric                                   108.2500   -95.5200  -90.0000  top
C2        10uF                         C_0603_1608Metric                                   109.5000   -95.5000  -90.0000  top
C3        10uF                         C_0603_1608Metric                                   112.7500  -153.7500   90.0000  top
C4        10uF                         C_0603_1608Metric                                   110.2500  -152.7500  180.0000  top
C5        22uF                         C_0603_1608Metric                                   110.0000  -134.5000  -90.0000  top
C6        10uF                         C_0603_1608Metric                                   120.0000  -146.0000   90.0000  top
C7        0.1uF                        C_0402_1005Metric                                   122.7500  -156.2500  180.0000  top
C8        0.1uF                        C_0402_1005Metric                                   130.4000  -151.2000  180.0000  top
C9        22uF                         C_0603_1608Metric                                   110.2500  -154.5000  180.0000  top
C10       1uF                          C_0402_1005Metric                                   126.9500  -140.5200   90.0000  top
D1        RED_5V                       LED_0402_1005Metric                                 112.0000  -158.7500  180.0000  top
D2        RED_3.3V                     LED_0402_1005Metric                                 112.0000  -157.5000  180.0000  top
D3        GREEN_GPIO                   LED_0402_1005Metric                                 112.0000  -156.2500  180.0000  top
D4        Diode                        D_SMB                                               110.7500  -140.0000  -90.0000  top
D5        Diode                        D_SMB                                               117.5000  -154.7500    0.0000  top
D6        Diode                        D_SMB                                               117.2500  -159.7500  180.0000  top
J1        USB_C_Receptacle_USB2.0_16P  USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A             114.0000  -167.5000    0.0000  top
J2        Conn_01x40_Socket            Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal   120.0000  -121.5000    0.0000  top
J6        USB_C_Receptacle_USB2.0_16P  USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A             126.0000  -167.5000    0.0000  top
L1        22uH                         5028_SMD_INDUCTOR_SRR5028-220Y                      117.0000  -140.2500   90.0000  top
Q1        2N3904                       SOT-23                                              125.0000  -149.2500    0.0000  top
Q2        2N3904                       SOT-23                                              120.7500  -149.5500    0.0000  top
R1        5.1K                         R_0402_1005Metric                                   108.0000  -165.0000  -90.0000  top
R2        5.1K                         R_0402_1005Metric                                   108.0000  -167.5000  -90.0000  top
R3        27R                          R_0402_1005Metric                                   110.5000  -160.5000  180.0000  top
R4        27R                          R_0402_1005Metric                                   110.5000  -161.7500  180.0000  top
R5        1K                           R_0402_1005Metric                                   109.7500  -158.7500    0.0000  top
R6        1K                           R_0402_1005Metric                                   109.7500  -157.5000    0.0000  top
R7        5.7K                         R_0402_1005Metric                                   115.0000  -114.0000  180.0000  top
R8        10K                          R_0402_1005Metric                                   127.0500  -142.6000   90.0000  top
R9        10K                          R_0402_1005Metric                                   127.2500  -145.7500  -90.0000  top
R10       396K                         R_0402_1005Metric                                   116.5000  -135.2500  180.0000  top
R11       10K                          R_0402_1005Metric                                   116.5000  -134.0000    0.0000  top
R12       1K                           R_0402_1005Metric                                   130.7500  -136.5000   90.0000  top
R13       1.8K                         R_0402_1005Metric                                   123.0000  -139.7500    0.0000  top
R14       1K                           R_0402_1005Metric                                   109.7500  -156.2500    0.0000  top
R15       10K                          R_0402_1005Metric                                   128.5000  -117.7500    0.0000  top
R17       5.7K                         R_0402_1005Metric                                   130.7500  -117.5000    0.0000  top
R18       22R                          R_0402_1005Metric                                   126.2500  -117.2500  180.0000  top
R19       27R                          R_0402_1005Metric                                   123.2500  -159.5000   90.0000  top
R20       27R                          R_0402_1005Metric                                   122.7500  -157.7500    0.0000  top
R21       5.1K                         R_0402_1005Metric                                   132.0000  -167.5000  -90.0000  top
R22       5.1K                         R_0402_1005Metric                                   132.0000  -165.0000  -90.0000  top
R23       100                          R_0402_1005Metric                                   122.7500  -155.0000  180.0000  top
R24       100                          R_0402_1005Metric                                   122.7500  -153.7500  180.0000  top
R25       10K                          R_0402_1005Metric                                   122.7500  -151.5000  180.0000  top
R26       10K                          R_0402_1005Metric                                   127.0000  -151.0000  180.0000  top
R27       47K                          R_0402_1005Metric                                   131.2500   -97.7500  180.0000  top
RV1       10K                          Potentiometer_Bourns_3314J_Vertical                 123.7500  -143.7500    0.0000  top
SW1       SW_Push                      SW_Push_1P1T-SH_NO_CK_KMR2xxG                       129.7500  -141.5000   90.0000  top
SW2       SW_Push                      SW_Push_1P1T-SH_NO_CK_KMR2xxG                       129.7500  -147.2500   90.0000  top
U1        ESP32-S3-WROOM-1             ESP32-S3-WROOM-1                                    120.0000  -100.0000    0.0000  top
U3        MT3608                       SOT-23-6                                            113.0000  -134.0000    0.0000  top
U4        CAT4104                      CAT4104                                             126.3200  -135.7500    0.0000  top
U5        CH340C                       SOIC-16_3.9x9.9mm_P1.27mm                           127.7500  -157.0000    0.0000  top
U6        LD1117S33TR_SOT223           SOT-223-3_TabPin2                                   113.2500  -148.2500  180.0000  top
## End
